,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
2153,591.68005,1146.443,496.4032,12.567392,27.110746,56.20668
2154,564.5054,1156.8273,490.87234,12.47865,27.213827,56.239624
2155,548.31525,1172.0195,446.15195,12.364628,27.325386,56.166325
2156,553.00494,1180.5834,451.88202,12.330148,27.260464,56.627445
2157,541.3844,1190.6351,420.63885,12.249423,27.315378,56.646122
2158,555.38617,1187.7833,400.16888,12.157926,27.465265,56.27938
2159,564.5963,1200.0582,380.3902,12.122049,27.52414,56.321552
2160,568.2721,1221.121,433.30374,12.054466,27.507948,57.249172
2161,551.37415,1235.1188,390.71384,11.993699,27.51925,56.788837
2162,534.2454,1243.4976,377.66602,11.899339,27.628622,56.737362
2163,543.4912,1255.0304,381.93195,11.901696,27.687239,56.970654
2164,598.69653,1282.7124,442.87012,11.8857,27.585974,57.83077
2165,503.67703,1285.2363,377.7121,11.81162,27.731445,57.875828
2166,616.5597,1319.5822,439.67917,11.78542,27.71203,59.0075
2167,612.964,1344.2184,428.04416,11.688252,27.725924,59.65115
2168,604.74884,1301.7701,349.49304,11.563443,27.79273,58.96448
