,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
137,2491.4487,975.0798,6525.4653,14.556617,27.773201,66.45683
138,2397.9944,981.1657,6132.009,14.570679,27.76415,66.39288
139,2428.5386,982.7536,6378.2266,14.577523,27.855577,66.44232
140,2387.729,962.9223,6313.6953,14.618266,27.752611,66.46571
141,2435.015,983.7585,6425.4043,14.553774,27.72222,66.38301
142,2433.1836,978.5113,6335.343,14.540127,27.775736,66.41702
143,2363.1494,964.4648,6299.9814,14.53681,27.744234,66.36578
144,2334.6016,947.1174,6246.4976,14.606874,27.636808,66.29569
145,2314.797,944.5208,5990.329,14.577721,27.7108,66.29472
146,2280.8254,931.80286,5931.639,14.588971,27.711264,66.342094
147,2243.4382,923.50604,6087.5977,14.570271,27.687193,66.20392
148,2232.3828,938.9546,5922.4443,14.546437,27.70333,66.171104
149,2260.9536,926.3582,5875.794,14.570064,27.615,66.21308
150,2268.791,926.2303,5766.963,14.515951,27.654213,66.148636
151,2230.771,917.1364,5691.421,14.544584,27.634377,66.146545
152,2229.6772,934.28217,5797.2373,14.542118,27.656372,66.10059
153,2199.959,899.9692,5890.633,14.493767,27.630724,66.0481
154,2143.9775,876.57227,5525.922,14.496706,27.414206,66.08424
155,2145.684,900.5463,5764.6074,14.449831,27.654566,66.01266
156,2135.3464,962.17834,5181.729,14.494721,27.787825,65.988434
157,2077.8455,894.0712,5502.544,14.490532,27.584646,65.892075
158,2156.1738,921.5968,5400.5474,14.474565,27.603418,65.96947
159,2145.542,886.1208,5357.453,14.395109,27.465471,65.9492
160,2113.5828,880.5455,5322.1943,14.414438,27.48232,65.90976
161,2081.6177,898.5544,5246.7373,14.439947,27.502298,65.88209
162,2133.4336,875.76807,5379.0527,14.445103,27.461123,65.84999
163,2028.4028,867.67596,5022.74,14.368598,27.414892,65.90054
164,2058.5742,869.1541,5053.6294,14.392216,27.46068,65.75318
165,2019.3069,867.02484,5008.124,14.403269,27.397167,65.72308
166,1979.4988,865.64136,4971.2656,14.388324,27.346043,65.81358
167,2084.317,874.4223,4969.912,14.379652,27.273668,65.757324
168,2017.9067,871.95026,4953.2407,14.355003,27.213118,65.71653
169,1995.844,853.4084,4785.3735,14.34922,27.241278,65.76335
170,1924.7604,851.1793,4688.052,14.3420315,27.242035,65.69653
171,1913.303,825.4179,4433.847,14.337911,27.153263,65.720474
172,1812.9778,821.45,4371.2773,14.258182,27.13516,65.69942
173,1857.0068,821.1968,4419.6455,14.255234,27.077818,65.762436
174,1879.5181,819.719,4393.9355,14.209522,27.024706,65.72287
175,1841.525,803.9313,4263.5107,14.192787,26.99029,65.73382
176,1760.0604,787.51337,4163.3657,14.148988,26.967924,65.73065
177,1714.1035,782.4478,4039.4766,14.206561,26.983023,65.75048
178,1729.4604,789.57623,4035.9402,14.16801,27.018984,65.74986
179,1734.2455,794.3332,3925.6138,14.139317,26.980951,65.70977
180,1694.5192,751.3974,3783.7263,14.15144,26.958612,65.71247
181,1650.9456,732.42596,3681.5413,14.119862,27.000292,65.58568
182,1574.3047,729.11115,3448.2349,14.156164,27.01605,65.41926
183,1542.2896,714.399,3345.2236,14.17186,27.064636,65.34117
184,1548.019,704.3486,3295.0898,14.166136,26.987022,65.23808
185,1512.6265,695.0576,3149.9028,14.201311,27.020422,65.03073
186,1483.0477,701.69806,3082.3442,14.142112,27.188364,64.90261
187,1444.7207,677.75037,2946.3438,14.138754,27.085592,64.769424
188,1397.09,678.63806,2814.3125,14.158971,27.197187,64.48864
189,1362.3755,664.038,2652.3418,14.165279,27.279837,64.175285
190,1322.2156,647.3826,2518.8462,14.208178,27.289171,63.845295
191,1271.688,633.0894,2380.104,14.181117,27.44639,63.567093
192,1249.199,614.1338,2286.8533,14.15366,27.342075,63.1743
193,1241.4502,610.90295,2210.9075,14.23292,27.38827,62.8087
194,1228.095,597.3969,2113.4111,14.15633,27.474722,62.522594
195,1193.2898,575.13666,1958.0931,14.158932,27.446102,62.087128
196,1155.7593,581.2419,1872.9167,14.191351,27.427954,61.817505
197,1117.6836,550.1622,1743.1576,14.143129,27.367773,61.479782
198,1086.314,540.2285,1645.3529,14.179913,27.272377,61.147957
199,1069.5691,532.1625,1648.5121,14.127938,27.26285,60.853127
200,1061.5217,515.70294,1589.006,14.087607,27.116352,60.34717
201,1062.4885,501.49152,1582.4415,14.036495,27.030241,60.13677
202,1050.6487,497.32556,1451.403,13.958191,27.005472,59.410683
203,986.02484,491.35526,1405.2555,13.915762,27.007324,58.958992
204,957.05206,474.89185,1292.9794,13.905838,26.928308,58.404938
205,931.46356,464.497,1221.2864,13.936357,26.759964,57.9911
206,929.82874,444.5393,1155.2045,13.971373,26.782969,57.493908
207,912.14825,447.77374,1123.8813,13.967781,26.666443,56.98844
208,902.319,446.55243,1081.8978,13.906884,26.755203,56.658775
209,866.2401,427.63962,1007.46606,13.919858,26.758837,56.331383
210,827.8636,425.42145,924.4111,13.989691,26.762804,56.04985
211,800.3405,427.61365,865.198,14.137352,26.827433,55.83657
212,775.1894,415.65738,808.3709,14.283125,26.910332,55.719208
213,762.9748,421.73782,776.629,14.4162445,26.95643,55.583416
214,750.1152,426.06165,746.7571,14.493105,27.028564,55.498123
215,723.8833,434.2685,701.4152,14.615551,27.169771,55.48739
216,699.56555,419.02838,656.9625,14.734667,27.203743,55.50305
217,694.3499,419.36478,607.1929,14.890352,27.253067,55.586826
218,679.72455,432.2351,598.90967,15.001875,27.349703,55.643074
219,662.3807,426.91647,543.1904,15.086009,27.366308,55.793404
220,651.42474,432.70233,512.8107,15.106425,27.321764,55.905556
221,644.7993,442.6387,480.826,15.149907,27.32712,55.99117
222,632.16437,449.86182,461.13727,15.218867,27.237955,56.12177
223,631.5662,452.84766,451.8838,15.233557,27.16422,56.22608
224,613.6567,464.18225,407.26108,15.21157,27.046772,56.329433
225,616.52924,469.62457,386.1774,15.146801,26.92132,56.374638
226,630.3427,469.07208,371.94617,15.106836,26.764688,56.444786
227,621.05255,477.543,357.7524,15.061067,26.628296,56.462433
228,615.09406,493.75232,341.64172,14.966296,26.512114,56.555305
229,634.97186,492.54266,327.18265,14.881041,26.49411,56.585735
230,630.8549,503.31876,313.8215,14.830375,26.336384,56.63016
231,646.2651,512.66943,323.62213,14.753963,26.246553,56.70272
232,633.9808,516.14655,310.29514,14.677154,26.135984,56.663246
233,659.7463,533.2718,298.80627,14.639015,26.087072,56.706062
234,633.9715,536.8136,287.72375,14.516455,25.98477,56.686935
235,623.811,539.887,298.6548,14.440002,25.917122,56.72712
236,654.6995,554.33154,284.43726,14.31313,25.774885,56.72792
237,632.45087,569.35516,287.97418,14.158895,25.572882,56.67447
238,702.43854,577.7128,273.48755,14.042698,25.393873,56.746933
239,711.97076,585.0932,269.1888,13.806064,25.067442,56.78384
240,717.7135,601.85077,263.477,13.559276,24.813753,56.83625
241,470.4355,690.035,297.0576,12.34102,24.700384,50.93815
242,386.26892,639.4479,216.43936,12.275462,24.86566,51.67734
243,465.857,623.1242,213.85562,12.139991,24.913582,51.903225
244,473.0264,660.6945,287.15866,12.292594,24.582275,51.7148
245,548.47437,699.5523,340.00674,12.493049,24.495956,51.528854
246,496.2614,710.112,357.14236,12.727059,24.564617,51.481915
247,483.5929,671.5975,354.5743,12.739283,24.68995,51.497185
248,464.90518,644.46234,289.49503,12.632471,24.75152,51.94492
249,460.33002,619.3482,290.3386,12.47697,24.768965,52.140797
250,510.72348,614.8297,303.82297,12.415803,24.54017,52.17976
251,520.048,651.43097,319.99008,12.536706,24.37557,52.350002
252,533.06104,647.7493,350.51627,12.60164,24.3036,52.389084
253,556.25287,648.1351,356.06146,12.679403,24.321997,52.591732
254,514.90344,628.98676,345.17914,12.722111,24.33808,52.65292
255,542.0515,618.1267,349.4837,12.663439,24.319818,52.513073
256,563.018,610.8066,372.307,12.644367,24.124144,52.7839
257,569.5823,624.21826,391.19568,12.658019,24.038614,52.785908
258,593.92883,622.98254,377.1059,12.7272,23.91408,53.101616
259,601.7068,613.1305,432.45383,12.775765,23.880873,53.160885
260,621.94086,620.7797,422.82565,12.793774,23.754194,53.436333
261,651.02026,609.0783,429.196,12.783799,23.718391,53.341427
262,661.47504,603.7022,456.4963,12.824481,23.650888,53.664577
263,694.11053,597.39825,497.40536,12.846601,23.53198,53.563442
264,724.07056,599.47797,515.438,12.878601,23.482061,53.70875
265,744.41614,595.2138,549.2721,12.91411,23.465164,53.707016
266,778.3075,577.1542,582.3551,12.952511,23.42127,53.857307
267,820.8345,595.08246,616.72144,12.989232,23.472076,53.948723
268,828.70776,592.3297,654.8224,13.038363,23.513475,53.98906
269,862.06616,589.83167,688.5011,13.070456,23.627893,53.99357
270,894.5838,576.1214,713.63965,13.129869,23.651133,54.04833
271,902.25543,588.31976,775.23267,13.219964,23.798532,54.0677
272,931.7202,588.69525,806.3324,13.278572,23.929258,54.131233
273,961.0298,585.4639,880.59033,13.342643,24.053629,54.164085
274,987.32715,599.5478,889.119,13.444009,24.16555,54.36549
