,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
129,2230.6057,827.31384,6666.5527,14.739223,26.953125,66.69479
130,2260.2795,832.56116,7013.0303,14.741874,26.973648,66.642494
131,2256.4502,837.19275,6944.7383,14.705388,26.985752,66.67233
132,2266.593,832.20374,6962.6895,14.693898,27.000137,66.68158
133,2255.7058,833.4943,6923.629,14.751261,26.954628,66.69893
134,2258.6663,838.77905,7056.6157,14.76183,26.939365,66.72089
135,2270.926,833.00287,6986.759,14.760289,26.899075,66.60327
136,2252.251,863.0536,7104.4404,14.802085,27.017738,66.626625
137,2233.405,830.3806,6815.5693,14.755303,27.00338,66.55416
138,2215.6536,819.54517,6844.948,14.758273,26.996397,66.624054
139,2205.478,830.5726,6853.0425,14.785299,26.961725,66.53107
140,2213.4487,825.4474,6650.7773,14.761968,26.975746,66.47196
141,2107.5696,807.14105,6367.1064,14.760907,26.807377,66.5433
142,2144.294,816.2064,6569.0303,14.763272,26.975231,66.45143
143,2079.7188,816.3969,6333.7036,14.750852,26.918907,66.43979
144,2145.551,817.8367,6355.5957,14.758447,26.899012,66.35044
145,2091.3745,823.97015,6254.7627,14.737464,26.94787,66.3283
146,2097.655,774.90625,6627.535,14.716563,26.940765,66.3073
147,2066.102,778.77405,6233.81,14.7052355,26.938816,66.300674
148,2051.5378,781.4852,5902.5293,14.6915655,26.905296,66.120346
149,2048.992,768.95624,6335.524,14.680602,26.937708,66.1003
150,1997.3027,749.3325,6337.1436,14.704463,26.876984,66.25932
151,1964.2843,748.62036,5959.802,14.70835,26.979233,66.23436
152,2040.9222,759.9651,6069.5264,14.643983,26.864416,66.06215
153,2028.9391,770.3374,5779.2114,14.598598,26.885504,66.0152
154,1996.8933,755.8727,5944.5205,14.6265545,26.801414,66.12849
155,1939.134,736.9706,5870.407,14.657789,26.6697,66.13446
156,1900.0566,733.13464,6010.882,14.627919,26.80446,66.086
157,1919.2551,732.896,5770.3115,14.621938,26.712494,65.96366
158,1931.8942,742.95776,5597.507,14.593154,26.64564,65.92658
159,1924.0334,736.7073,5812.251,14.609054,26.654064,65.906845
160,1962.781,740.24915,5538.508,14.588656,26.686306,65.923386
161,1936.5049,733.05774,5606.963,14.560632,26.558199,65.86956
162,1916.6942,735.21313,5627.918,14.511495,26.604008,65.76445
163,1911.0115,725.46716,5464.95,14.514083,26.51395,65.64908
164,1895.5403,731.6603,5258.827,14.51924,26.46264,65.436035
165,1794.6401,714.64545,5293.004,14.501847,26.377125,65.60895
